Symbol,Name,Sector,Market Cap Type,Full Time Employees,City,State,AVG CLOSING PRE 08,STD PRE 08,AVG VOLUME PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,AVG VOLUME DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,AVG VOLUME POST 08,AVG CLOSING PRE COVID,STD PRE COVID,AVG VOLUME PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,AVG VOLUME DURING COVID
BGS,B&G Foods Holdings Corp.,Consumer Defensive,Small Cap Stock,2706,Parsippany,NJ,5.935373134,0.37491383799999994,190004.4776119403,-32.15260513,4.026996047,0.98233508,143208.69565217392,32.26803574,5.326428571,0.690180373,299919.84126984124,19.37634921,3.023749052,1146678.5714285714,-9.357688878,17.56317073,3.3788254510000004,1856920.731707317
RGS,Regis Corporation,Consumer Cyclical,Small Cap Stock,14000,Minneapolis,MN,33.9349004,3.7238208719999997,335223.1075697211,-35.13900564,22.01051383,6.144885352999999,432934.7826086957,-30.56276569,15.28349206,1.5800697540000002,732441.6666666666,18.48027778,1.3930480219999999,305046.0317460318,-45.01851201,10.16073171,2.68915232,554347.5609756098
WTS,"Watts Water Technologies, Inc.",Industrials,Medium Cap Stock,4800,North Andover,MA,31.18063745,3.524251579,607409.1633466135,-25.34740771,23.27715415,2.252706794,583064.8221343873,15.54298637,26.89511905,2.847173405,214094.84126984127,86.57059524,8.322015637,139408.33333333334,-0.479219913,86.15573171,10.743906800000001,187239.0243902439
FFIN,"First Financial Bankshares, Inc.",Financial Services,Medium Cap Stock,1345,Abilene,TX,4.986454183,0.18779078,304117.9282868526,16.999976,5.834150198,0.7214368990000001,764588.1422924901,18.25622924,6.899246032000001,0.275245322,424938.09523809527,31.21702381,2.10196348,466884.5238095238,-9.509193581,28.24853659,3.441215376,670880.487804878
RGR,"Sturm, Ruger & Company, Inc.",Industrials,Small Cap Stock,1609,Southport,CT,10.26494024,2.641674374,306469.72111553786,-46.60284772,5.481185771,0.633251387,190143.08300395258,80.61423205,9.899801587,1.554236839,283171.4285714286,48.98337302,5.014397928999999,157182.53968253967,5.7237792789999995,51.78707317,4.825372112,262706.0975609756
GVA,Granite Construction Incorporated,Industrials,Small Cap Stock,7000,Watsonville,CA,46.17653386,7.064143567,756494.8207171315,-38.0036901,28.62774704,3.456558418,855801.581027668,-7.948114395,26.35238095,2.019619872,596443.253968254,36.98591270000001,7.595039399,583697.2222222222,-51.86565497,17.80292683,4.972692712,863545.1219512195
WRLD,World Acceptance Corporation,Financial Services,Small Cap Stock,3624,Greenville,SC,38.88175299,5.987836146,206504.780876494,-19.21548704,31.41043478,8.277721787,291644.66403162054,2.594937307,32.22551587,6.556296518,282155.55555555556,123.6307143,20.49939957,106410.31746031746,-47.319015,65.12987805,11.05818936,89993.90243902439
GAB,"Gabelli Equity Trust, Inc. (The)",Financial Services,Small Cap Stock,172,Rye,NY,2.248406375,0.118951462,229794.42231075699,-12.84648364,1.959565217,0.48638303899999996,270509.0909090909,-12.88154934,1.7071428569999998,0.105892956,340110.31746031746,5.566428571,0.26505044,553228.9682539683,-13.34593585,4.823536585,0.7544344159999999,988423.1707317074
JJSF,J & J Snack Foods Corp.,Consumer Defensive,Medium Cap Stock,4600,Pennsauken,NJ,32.62533865,2.1861619759999997,58229.08366533864,-21.90083035,25.48011858,2.425929781,78469.1699604743,46.75400793,37.39309524,2.5851820969999997,58680.555555555555,168.93761899999998,16.82680535,82425.39682539682,-18.8062978,137.1667073,21.51604288,148909.75609756098
PRK,Park National Corporation,Financial Services,Small Cap Stock,1907,Newark,OH,47.0636255,3.50282663,35760.95617529881,-21.64143953,36.87837945,3.7742489189999997,59652.56916996047,1.149406412,37.3022619,2.9024572710000003,44365.87301587302,93.35484127,4.32653542,38877.380952380954,-13.58372058,80.67378049,10.15473005,80495.12195121951
